Layer 23,Layer 23,0.12497310964698236,0.4853126654011094,1
Layer 23,Layer 4,0.22065577574181477,0.5747661395612342,4
Layer 23,Layer 5,0.06402137553701615,0.1829720163016081,11
Layer 23,Layer 6,0.016152179916099067,0.09990804319279796,0
Layer 4,Layer 23,0.4187491715327879,0.797506680436688,8
Layer 4,Layer 4,0.5145259939959294,1.0035916592207843,15
Layer 4,Layer 5,0.12269619541675357,0.2912512315344396,20
Layer 4,Layer 6,0.0766811815647518,0.3162904804554317,6
Layer 5,Layer 23,0.1859278322034654,0.41122676599163166,8
Layer 5,Layer 4,0.16835132901408983,0.4087597854815323,14
Layer 5,Layer 5,0.07656166356329441,0.21087751363960527,29
